type_pre,R1-R6,L1,L2,Mi1,Tm3,Tm1,Tm2,T4,T5
R1-R6,1.97196261682243,28.617785378366822,29.493790149892934,0.0,0.0,0.0,0.0,0.0,0.0
L1,1.4377811094452773,2.5714285714285716,2.122137404580153,64.9455497382199,12.514576747453459,1.263157894736842,2.466666666666667,1.0,0.0
L2,2.570414201183432,2.6608187134502925,1.588235294117647,1.9023354564755839,1.6919831223628692,105.62388392857143,74.31906906906907,0.0,0.0
Mi1,0.0,17.166666666666668,1.403225806451613,2.407219759341355,9.624327386009629,2.3081534772182253,1.548951048951049,9.571566366114489,0.0
Tm3,0.0,3.4968961625282167,1.6875,2.124469127736034,3.111660777385159,1.432900432900433,1.4378109452736318,5.121641015489682,1.4926350245499183
Tm1,0.0,1.0,2.097770154373928,1.5671406003159558,1.3682539682539683,1.6129032258064515,2.59921875,1.2955665024630543,4.900804289544236
Tm2,0.0,1.8461538461538463,2.13986013986014,1.6906906906906907,1.4490358126721763,2.7388646288209606,1.4528301886792452,1.5876288659793814,7.077178107505842
T4,0.0,1.3333333333333333,0.0,1.0947630922693268,1.139275766016713,1.1216216216216217,1.13,1.9702041276643736,1.542111676582324
T5,0.0,0.0,0.0,3.0,1.0694444444444444,1.083076923076923,1.0772727272727274,1.4993101333742143,1.8396564228084489
